dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
adult,topsis,ddp,0,post,"[0.11516176164150238, 0.439482182264328]",0.8122890609489776,0.269826435246996,0.908314606741573,0.4160576428203809,0.05992922777721711,0.007380301321292804
adult,topsis,ddp,0,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,1,post,"[0.33946341276168823, 1.2961844205856323]",0.8122559724703858,0.2696929238985314,0.908273381294964,0.4158945851348569,0.05988024418671993,0.007223610628719956
adult,topsis,ddp,1,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,2,post,"[0.26110774278640747, 0.996848464012146]",0.8122890609489776,0.269826435246996,0.908314606741573,0.4160576428203809,0.05992922777721711,0.007380301321292804
adult,topsis,ddp,2,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,3,post,"[0.2670243978500366, 1.0200942754745483]",0.8122228839917941,0.26955941255006677,0.9082321187584346,0.41573149387418923,0.05983126059622275,0.007066919936147109
adult,topsis,ddp,3,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,4,post,"[0.14773023128509521, 0.5635281205177307]",0.8122890609489776,0.269826435246996,0.908314606741573,0.4160576428203809,0.05992922777721711,0.007380301321292804
adult,topsis,ddp,4,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,5,post,"[0.15550827980041504, 0.7875047922134399]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
adult,topsis,ddp,5,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,6,post,"[0.10584849119186401, 0.40262672305107117]",0.8124214148633446,0.2703604806408545,0.9084791386271871,0.4167095380183146,0.06012516213920585,0.008007064091584248
adult,topsis,ddp,6,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,7,post,"[0.16458483040332794, 0.6291885375976562]",0.8121236185560188,0.2691588785046729,0.9081081081081082,0.41524201853759013,0.059684309824731205,0.006596847858428512
adult,topsis,ddp,7,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,8,post,"[0.08057209849357605, 0.42062652111053467]",0.8011713321421481,0.21415220293724965,0.9287782281412854,0.348052511663231,0.045649155070524604,0.0002972597795922183
adult,topsis,ddp,8,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,9,post,"[0.18110576272010803, 0.9451186060905457]",0.8011713321421481,0.21415220293724965,0.9287782281412854,0.348052511663231,0.045649155070524604,0.0002972597795922183
adult,topsis,ddp,9,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,10,post,"[0.18150825798511505, 0.6919293999671936]",0.8122890609489776,0.269826435246996,0.908314606741573,0.4160576428203809,0.05992922777721711,0.007380301321292804
adult,topsis,ddp,10,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,11,post,"[0.26860320568084717, 1.027105450630188]",0.8121567070346105,0.2691588785046729,0.9085173501577287,0.4152847873107426,0.05963532623423402,0.006596847858428512
adult,topsis,ddp,11,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,12,post,"[0.10765882581472397, 0.41132935881614685]",0.8121567070346105,0.2692923898531375,0.9081494822152184,0.4154052105859335,0.059733293415228386,0.006753538551001359
adult,topsis,ddp,12,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,13,post,"[0.14395737648010254, 0.8291417956352234]",0.7982595460260737,0.1986648865153538,0.9399873657612129,0.3280061721591535,0.04161454948994657,0.0009313762646975254
adult,topsis,ddp,13,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,14,post,"[0.6598343849182129, 0.003003358840942383]",0.34514592019058965,0.9994659546061415,0.2744839218274484,0.43068780024738945,0.056916789406598056,0.0006267627702915002
adult,topsis,ddp,14,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,15,post,"[0.26071298122406006, 0.9959092736244202]",0.8122228839917941,0.26955941255006677,0.9082321187584346,0.41573149387418923,0.05983126059622275,0.007066919936147109
adult,topsis,ddp,15,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,16,post,"[0.21042008697986603, 0.8038928508758545]",0.8121897955132023,0.26942590120160215,0.9081908190819082,0.4155683690280066,0.05978227700572557,0.006910229243574262
