dataset,selector,objective,solution_type,acc_mean,acc_std,rec_mean,rec_std,prec_mean,prec_std,f1_mean,f1_std,ddp_mean,ddp_std,deo_mean,deo_std
adult,topsis,ddp,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp,post,0.7865776586592548,0.10401092839962783,0.29446595460614156,0.16766381380577974,0.8812572727302601,0.14315074577046644,0.4022921577900078,0.0301574530005229,0.05672515927720959,0.006131529402367121,0.005630145479105811,0.0027566029567607474
adult,topsis,ddp + deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp + deo,post,0.7872592813182451,0.10246200644443465,0.29610814419225634,0.1677014553773467,0.8808507486760841,0.14261683211985932,0.4041812185311352,0.034736277889191494,0.05749470961489143,0.006632012869868927,0.0061559502300581204,0.0021308290767112826
adult,topsis,ddp_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp_kl,post,0.8037207994176427,0.02081415353473716,0.2838918558077437,0.15957045543427562,0.8944081099700334,0.10136983411306046,0.40195222459861907,0.06737786639276944,0.06911475458719188,0.06487809606858624,0.00836705671524265,0.012551857419804201
adult,topsis,ddp_kl + deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp_kl + deo_kl,post,0.7933409436834095,0.04656212785918529,0.2641855807743658,0.17813787366285505,0.8988902813250819,0.12373715936531525,0.3688866502338396,0.08949910534897333,0.06045816889029541,0.05056247455785304,0.006317944082352552,0.004972105937358235
adult,topsis,deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,deo,post,0.6756187545496658,0.20497939024043324,0.46758344459279033,0.3590318055523349,0.7293450419476852,0.300496657053908,0.39664966292066606,0.05654292795054372,0.059373827433762585,0.014844180900300364,0.004199805522526688,0.0030289654524990393
adult,topsis,deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,deo_kl,post,0.8109605585335187,0.004267546613319393,0.26311748998664886,0.021431438917750924,0.9111849260915076,0.009036082802213323,0.4077447765823883,0.026677201675609535,0.05824860887876652,0.0052949712885331105,0.006815196621363986,0.0016065469787189832
adult,zenith,ddp,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp,post,0.812616636887036,0.08919636446883286,0.43582109479305736,0.15905254747115807,0.8156971236973998,0.1277809766348923,0.535763896727513,0.07634004021667183,0.10338606523987912,0.02873776242853973,0.027581790278841556,0.014984521477731282
adult,zenith,ddp + deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp + deo,post,0.7669115214082456,0.13808781802026132,0.4344192256341789,0.25878504725464,0.7922068150434367,0.21044553076811964,0.4741489251415237,0.09658710154631447,0.09006694299165667,0.04181015361916772,0.01845783832462012,0.013120179355044637
adult,zenith,ddp_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp_kl,post,0.8162067368142413,0.043685607057629236,0.44196929238985316,0.21193569346204988,0.8123960399418904,0.13371233188788978,0.522669784240471,0.13294709564866,0.1215950849185009,0.08130597020600996,0.032096391362439705,0.014426708181264684
adult,zenith,ddp_kl + deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp_kl + deo_kl,post,0.816416848653299,0.045399118703513444,0.3945393858477971,0.17317842606806036,0.8398032957638435,0.11432896551659755,0.5022380007834135,0.10368099382213025,0.10021024359409192,0.055945485370420336,0.02428210773305336,0.013931421698921538
adult,zenith,deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,deo,post,0.775698166898286,0.1217927836790352,0.4441922563417891,0.24856773437597798,0.7909945143142123,0.20118508560841003,0.4902838640280754,0.07471015101688273,0.09794449855015916,0.046677441010803136,0.018496883721930025,0.012812953785731714
adult,zenith,deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
