dataset,selector,objective,acc_baseline,acc_post,rec_baseline,rec_post,prec_baseline,prec_post,f1_baseline,f1_post,ddp_baseline,ddp_post,deo_baseline,deo_post
bank,zenith,ddp,0.9012 ± 0.0000,0.8947 ± 0.0085,0.3355 ± 0.0000,0.3066 ± 0.1823,0.6488 ± 0.0000,0.6402 ± 0.0644,0.4423 ± 0.0000,0.3760 ± 0.1398,0.0196 ± 0.0000,0.0174 ± 0.0125,0.0239 ± 0.0000,0.0098 ± 0.0070
bank,zenith,ddp + deo,0.9012 ± 0.0000,0.8896 ± 0.0197,0.3355 ± 0.0000,0.3348 ± 0.2403,0.6488 ± 0.0000,0.6176 ± 0.0862,0.4423 ± 0.0000,0.3681 ± 0.1817,0.0196 ± 0.0000,0.0205 ± 0.0184,0.0239 ± 0.0000,0.0109 ± 0.0067
bank,zenith,ddp_kl,0.9012 ± 0.0000,0.8816 ± 0.0453,0.3355 ± 0.0000,0.2868 ± 0.2390,0.6488 ± 0.0000,0.6237 ± 0.1106,0.4423 ± 0.0000,0.3246 ± 0.1508,0.0196 ± 0.0000,0.0183 ± 0.0222,0.0239 ± 0.0000,0.0101 ± 0.0081
bank,zenith,ddp_kl + deo_kl,0.9012 ± 0.0000,0.8979 ± 0.0060,0.3355 ± 0.0000,0.3114 ± 0.1543,0.6488 ± 0.0000,0.6401 ± 0.0312,0.4423 ± 0.0000,0.3901 ± 0.1618,0.0196 ± 0.0000,0.0172 ± 0.0092,0.0239 ± 0.0000,0.0110 ± 0.0064
bank,zenith,deo,0.9012 ± 0.0000,0.8467 ± 0.1761,0.3355 ± 0.0000,0.3989 ± 0.2676,0.6488 ± 0.0000,0.5893 ± 0.1517,0.4423 ± 0.0000,0.3878 ± 0.1440,0.0196 ± 0.0000,0.0216 ± 0.0194,0.0239 ± 0.0000,0.0081 ± 0.0073
bank,zenith,deo_kl,0.9012 ± 0.0000,0.8920 ± 0.0230,0.3355 ± 0.0000,0.3482 ± 0.2040,0.6488 ± 0.0000,0.6257 ± 0.0800,0.4423 ± 0.0000,0.3998 ± 0.1463,0.0196 ± 0.0000,0.0206 ± 0.0166,0.0239 ± 0.0000,0.0098 ± 0.0056
celeba,topsis,ddp,0.8521 ± 0.0000,0.7832 ± 0.0870,0.8345 ± 0.0000,0.6995 ± 0.2659,0.8551 ± 0.0000,0.8643 ± 0.0959,0.8447 ± 0.0000,0.7260 ± 0.1743,0.1941 ± 0.0000,0.1445 ± 0.0615,0.1574 ± 0.0000,0.1083 ± 0.0484
celeba,topsis,ddp + deo,0.8521 ± 0.0000,0.8010 ± 0.0601,0.8345 ± 0.0000,0.8206 ± 0.1928,0.8551 ± 0.0000,0.8075 ± 0.1004,0.8447 ± 0.0000,0.7870 ± 0.1117,0.1941 ± 0.0000,0.1521 ± 0.0493,0.1574 ± 0.0000,0.1047 ± 0.0503
celeba,topsis,ddp_kl,0.8521 ± 0.0000,0.8226 ± 0.0724,0.8345 ± 0.0000,0.7591 ± 0.1956,0.8551 ± 0.0000,0.8724 ± 0.0625,0.8447 ± 0.0000,0.7851 ± 0.1759,0.1941 ± 0.0000,0.1774 ± 0.0422,0.1574 ± 0.0000,0.1503 ± 0.0445
celeba,topsis,ddp_kl + deo_kl,0.8521 ± 0.0000,0.8196 ± 0.0525,0.8345 ± 0.0000,0.7576 ± 0.1659,0.8551 ± 0.0000,0.8715 ± 0.0754,0.8447 ± 0.0000,0.7918 ± 0.1017,0.1941 ± 0.0000,0.1710 ± 0.0389,0.1574 ± 0.0000,0.1459 ± 0.0461
celeba,topsis,deo,0.8521 ± 0.0000,0.6964 ± 0.1398,0.8345 ± 0.0000,0.9269 ± 0.0834,0.8551 ± 0.0000,0.6685 ± 0.1554,0.8447 ± 0.0000,0.7585 ± 0.0724,0.1941 ± 0.0000,0.0840 ± 0.0834,0.1574 ± 0.0000,0.0657 ± 0.0733
celeba,topsis,deo_kl,0.8521 ± 0.0000,0.7827 ± 0.0832,0.8345 ± 0.0000,0.7259 ± 0.2590,0.8551 ± 0.0000,0.8493 ± 0.1114,0.8447 ± 0.0000,0.7344 ± 0.1815,0.1941 ± 0.0000,0.1433 ± 0.0593,0.1574 ± 0.0000,0.1122 ± 0.0583
celeba,zenith,ddp,0.8521 ± 0.0000,0.8015 ± 0.0766,0.8345 ± 0.0000,0.7024 ± 0.2290,0.8551 ± 0.0000,0.8837 ± 0.0685,0.8447 ± 0.0000,0.7498 ± 0.1530,0.1941 ± 0.0000,0.1612 ± 0.0514,0.1574 ± 0.0000,0.1296 ± 0.0444
celeba,zenith,ddp + deo,0.8521 ± 0.0000,0.8270 ± 0.0213,0.8345 ± 0.0000,0.7969 ± 0.1109,0.8551 ± 0.0000,0.8554 ± 0.0832,0.8447 ± 0.0000,0.8143 ± 0.0314,0.1941 ± 0.0000,0.1764 ± 0.0195,0.1574 ± 0.0000,0.1474 ± 0.0480
celeba,zenith,ddp_kl,0.8521 ± 0.0000,0.8115 ± 0.0623,0.8345 ± 0.0000,0.8366 ± 0.1441,0.8551 ± 0.0000,0.8117 ± 0.1001,0.8447 ± 0.0000,0.8066 ± 0.0838,0.1941 ± 0.0000,0.1574 ± 0.0566,0.1574 ± 0.0000,0.1199 ± 0.0555
celeba,zenith,ddp_kl + deo_kl,0.8521 ± 0.0000,0.8257 ± 0.0325,0.8345 ± 0.0000,0.7759 ± 0.1401,0.8551 ± 0.0000,0.8662 ± 0.0716,0.8447 ± 0.0000,0.8048 ± 0.0643,0.1941 ± 0.0000,0.1802 ± 0.0195,0.1574 ± 0.0000,0.1491 ± 0.0365
celeba,zenith,deo,0.8521 ± 0.0000,0.7611 ± 0.0611,0.8345 ± 0.0000,0.8978 ± 0.1257,0.8551 ± 0.0000,0.7243 ± 0.1204,0.8447 ± 0.0000,0.7843 ± 0.0484,0.1941 ± 0.0000,0.0990 ± 0.0644,0.1574 ± 0.0000,0.0736 ± 0.0624
celeba,zenith,deo_kl,0.8521 ± 0.0000,0.7809 ± 0.1033,0.8345 ± 0.0000,0.8125 ± 0.1707,0.8551 ± 0.0000,0.8057 ± 0.1428,0.8447 ± 0.0000,0.7805 ± 0.0976,0.1941 ± 0.0000,0.1471 ± 0.0646,0.1574 ± 0.0000,0.1177 ± 0.0664
