dataset,selector,objective,solution_type,acc,rec,prec,f1,ddp,deo
bank,topsis,deo,post,0.9009 ± 0.0001,0.3239 ± 0.0093,0.6534 ± 0.0049,0.4330 ± 0.0070,0.0186 ± 0.0007,0.0202 ± 0.0014
bank,topsis,deo_kl,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,topsis,deo_kl,post,0.8964 ± 0.0071,0.2390 ± 0.1325,0.6618 ± 0.0140,0.3266 ± 0.1660,0.0134 ± 0.0082,0.0144 ± 0.0084
bank,zenith,ddp,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,zenith,ddp,post,0.8986 ± 0.0055,0.4982 ± 0.0777,0.5847 ± 0.0376,0.5319 ± 0.0290,0.0287 ± 0.0054,0.0081 ± 0.0046
bank,zenith,ddp + deo,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,zenith,ddp + deo,post,0.8998 ± 0.0036,0.5003 ± 0.0465,0.5864 ± 0.0242,0.5377 ± 0.0147,0.0286 ± 0.0033,0.0081 ± 0.0033
bank,zenith,ddp_kl,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,zenith,ddp_kl,post,0.9003 ± 0.0032,0.4955 ± 0.0411,0.5895 ± 0.0216,0.5366 ± 0.0122,0.0282 ± 0.0030,0.0087 ± 0.0029
bank,zenith,ddp_kl + deo_kl,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,zenith,ddp_kl + deo_kl,post,0.9005 ± 0.0028,0.4945 ± 0.0319,0.5897 ± 0.0172,0.5369 ± 0.0082,0.0282 ± 0.0025,0.0074 ± 0.0021
bank,zenith,deo,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,zenith,deo,post,0.8980 ± 0.0054,0.5215 ± 0.0603,0.5749 ± 0.0327,0.5431 ± 0.0152,0.0301 ± 0.0045,0.0074 ± 0.0042
bank,zenith,deo_kl,baseline,0.9012 ± 0.0000,0.3355 ± 0.0000,0.6488 ± 0.0000,0.4423 ± 0.0000,0.0196 ± 0.0000,0.0239 ± 0.0000
bank,zenith,deo_kl,post,0.8968 ± 0.0130,0.5224 ± 0.0790,0.5747 ± 0.0449,0.5409 ± 0.0109,0.0305 ± 0.0070,0.0074 ± 0.0031
celeba,topsis,ddp,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,topsis,ddp,post,0.8115 ± 0.0877,0.8577 ± 0.1366,0.7992 ± 0.0936,0.8121 ± 0.0908,0.1693 ± 0.0485,0.1143 ± 0.0415
celeba,topsis,ddp + deo,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,topsis,ddp + deo,post,0.8203 ± 0.0492,0.8849 ± 0.0547,0.7882 ± 0.0811,0.8284 ± 0.0280,0.1641 ± 0.0480,0.1147 ± 0.0484
celeba,topsis,ddp_kl,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,topsis,ddp_kl,post,0.8360 ± 0.0207,0.8791 ± 0.0419,0.8057 ± 0.0506,0.8384 ± 0.0109,0.1802 ± 0.0219,0.1232 ± 0.0341
celeba,topsis,ddp_kl + deo_kl,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,topsis,ddp_kl + deo_kl,post,0.8124 ± 0.0560,0.8605 ± 0.1521,0.7926 ± 0.0816,0.8082 ± 0.0996,0.1567 ± 0.0523,0.1049 ± 0.0467
celeba,topsis,deo,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,topsis,deo,post,0.8096 ± 0.0762,0.8565 ± 0.1274,0.7979 ± 0.0975,0.8119 ± 0.0646,0.1660 ± 0.0436,0.1134 ± 0.0399
celeba,topsis,deo_kl,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,topsis,deo_kl,post,0.8139 ± 0.0560,0.8520 ± 0.1491,0.8008 ± 0.0861,0.8088 ± 0.0952,0.1578 ± 0.0491,0.1108 ± 0.0508
celeba,zenith,ddp,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,zenith,ddp,post,0.8302 ± 0.0331,0.8835 ± 0.0442,0.7975 ± 0.0629,0.8350 ± 0.0192,0.1696 ± 0.0426,0.1177 ± 0.0417
celeba,zenith,ddp + deo,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,zenith,ddp + deo,post,0.8282 ± 0.0228,0.8962 ± 0.0400,0.7853 ± 0.0507,0.8347 ± 0.0125,0.1731 ± 0.0267,0.1095 ± 0.0342
celeba,zenith,ddp_kl,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,zenith,ddp_kl,post,0.8381 ± 0.0246,0.8698 ± 0.0425,0.8152 ± 0.0541,0.8390 ± 0.0134,0.1799 ± 0.0290,0.1295 ± 0.0363
celeba,zenith,ddp_kl + deo_kl,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,zenith,ddp_kl + deo_kl,post,0.8354 ± 0.0262,0.8735 ± 0.0460,0.8098 ± 0.0583,0.8373 ± 0.0142,0.1773 ± 0.0304,0.1258 ± 0.0388
celeba,zenith,deo,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,zenith,deo,post,0.8354 ± 0.0290,0.8722 ± 0.0449,0.8110 ± 0.0601,0.8373 ± 0.0162,0.1753 ± 0.0357,0.1268 ± 0.0404
celeba,zenith,deo_kl,baseline,0.8521 ± 0.0000,0.8345 ± 0.0000,0.8551 ± 0.0000,0.8447 ± 0.0000,0.1941 ± 0.0000,0.1574 ± 0.0000
celeba,zenith,deo_kl,post,0.8389 ± 0.0258,0.8617 ± 0.0450,0.8221 ± 0.0574,0.8385 ± 0.0139,0.1795 ± 0.0309,0.1340 ± 0.0388
compas,topsis,ddp,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,topsis,ddp,post,0.6349 ± 0.0645,0.6360 ± 0.2121,0.6429 ± 0.0981,0.6043 ± 0.0591,0.1383 ± 0.0500,0.1279 ± 0.0478
compas,topsis,ddp + deo,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,topsis,ddp + deo,post,0.6360 ± 0.0530,0.5809 ± 0.2423,0.6659 ± 0.1079,0.5687 ± 0.1393,0.1344 ± 0.0474,0.1294 ± 0.0462
compas,topsis,ddp_kl,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,topsis,ddp_kl,post,0.6230 ± 0.0623,0.6303 ± 0.2548,0.6405 ± 0.1149,0.5800 ± 0.1386,0.1260 ± 0.0544,0.1182 ± 0.0523
compas,topsis,ddp_kl + deo_kl,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,topsis,ddp_kl + deo_kl,post,0.6282 ± 0.0545,0.5159 ± 0.2702,0.6836 ± 0.1091,0.5217 ± 0.1718,0.1230 ± 0.0537,0.1258 ± 0.0473
compas,topsis,deo,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,topsis,deo,post,0.6054 ± 0.0802,0.5903 ± 0.2917,0.6502 ± 0.1316,0.5443 ± 0.1606,0.1115 ± 0.0737,0.1138 ± 0.0656
compas,topsis,deo_kl,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,topsis,deo_kl,post,0.6223 ± 0.0735,0.5907 ± 0.2508,0.6553 ± 0.1177,0.5665 ± 0.1310,0.1282 ± 0.0653,0.1249 ± 0.0609
compas,zenith,ddp,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,zenith,ddp,post,0.6738 ± 0.0106,0.6488 ± 0.0935,0.6508 ± 0.0371,0.6437 ± 0.0245,0.1778 ± 0.0178,0.1511 ± 0.0311
compas,zenith,ddp + deo,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,zenith,ddp + deo,post,0.6773 ± 0.0073,0.6199 ± 0.0762,0.6625 ± 0.0294,0.6365 ± 0.0208,0.1861 ± 0.0105,0.1580 ± 0.0313
compas,zenith,ddp_kl,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,zenith,ddp_kl,post,0.6674 ± 0.0121,0.7137 ± 0.0898,0.6257 ± 0.0366,0.6613 ± 0.0232,0.1712 ± 0.0178,0.1247 ± 0.0342
compas,zenith,ddp_kl + deo_kl,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,zenith,ddp_kl + deo_kl,post,0.6743 ± 0.0090,0.6623 ± 0.0915,0.6470 ± 0.0353,0.6489 ± 0.0250,0.1808 ± 0.0129,0.1422 ± 0.0366
compas,zenith,deo,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,zenith,deo,post,0.6734 ± 0.0097,0.6694 ± 0.0923,0.6440 ± 0.0359,0.6507 ± 0.0253,0.1767 ± 0.0161,0.1375 ± 0.0369
compas,zenith,deo_kl,baseline,0.6706 ± 0.0000,0.5390 ± 0.0000,0.6776 ± 0.0000,0.6004 ± 0.0000,0.1741 ± 0.0000,0.1527 ± 0.0000
compas,zenith,deo_kl,post,0.6776 ± 0.0079,0.6172 ± 0.0728,0.6635 ± 0.0286,0.6358 ± 0.0197,0.1841 ± 0.0136,0.1595 ± 0.0282
dutch,topsis,ddp,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,topsis,ddp,post,0.7603 ± 0.0690,0.7080 ± 0.2069,0.8128 ± 0.1090,0.7214 ± 0.1423,0.1548 ± 0.0449,0.0290 ± 0.0278
dutch,topsis,ddp + deo,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,topsis,ddp + deo,post,0.7306 ± 0.0915,0.7635 ± 0.2325,0.7582 ± 0.1408,0.7131 ± 0.1548,0.1329 ± 0.0563,0.0292 ± 0.0309
dutch,topsis,ddp_kl,baseline,0.8096 ± 0.0000,0.7603 ± 0.0000,0.8265 ± 0.0000,0.7920 ± 0.0000,0.1762 ± 0.0000,0.0588 ± 0.0000
dutch,topsis,ddp_kl,post,0.7545 ± 0.0489,0.7428 ± 0.1956,0.7862 ± 0.1188,0.7317 ± 0.0890,0.1535 ± 0.0361,0.0215 ± 0.0216
