dataset,selector,objective,solution_type,acc_mean,acc_std,rec_mean,rec_std,prec_mean,prec_std,f1_mean,f1_std,ddp_mean,ddp_std,deo_mean,deo_std
adult,topsis,ddp,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp,post,0.7415210773608629,0.1689533576094265,0.2719225634178905,0.25084211419256913,0.8710952467920734,0.21356510936664794,0.32425806877221064,0.04735076608519017,0.036691874710194784,0.014366947284227858,0.0017902901549597464,0.001586278341636921
adult,topsis,ddp + deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp + deo,post,0.8048044470915228,0.016999634699313013,0.23903204272363152,0.09711974897512822,0.9193666465284247,0.043509141510854936,0.36785495211532787,0.10566092455195715,0.05426255908767351,0.027188677429952957,0.008418136749680678,0.011750896732471044
adult,topsis,ddp_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp_kl,post,0.8117397922043544,0.0639221138370318,0.4182242990654205,0.21113111781937488,0.821654183599378,0.1358783847180847,0.5028088459453197,0.13936568268477492,0.10677664224454828,0.05930445079694191,0.024565932841350963,0.021445632830864838
adult,topsis,ddp_kl + deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,ddp_kl + deo_kl,post,0.8361226920786182,0.01524426445622729,0.4596595460614152,0.1266793340755535,0.8121690117181585,0.06437096699174502,0.5702291172948233,0.10052071101248185,0.12205192245608427,0.04200694675349817,0.03453344073528098,0.016738208400946985
adult,topsis,deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,deo,post,0.8038051750380518,0.012941633796524715,0.23001335113484647,0.06916755443461763,0.923651351756963,0.02979641461614134,0.36231899951842383,0.08019735434114782,0.050928051736501244,0.018488348287758836,0.006148539948207227,0.008108196531609645
adult,topsis,deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,topsis,deo_kl,post,0.8313612600092648,0.019164492964917172,0.4259946595460614,0.14647751141796272,0.8282281930224313,0.07260143443459159,0.5396017234663883,0.12380268048594108,0.11153824582255308,0.047269892021361,0.02987214718290499,0.019673724740158986
adult,zenith,ddp,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp,post,0.8440870888756535,0.0007867605446413568,0.49901201602136186,0.008522893018147083,0.7957996371992426,0.004358993887217313,0.613321443662699,0.00535660210148216,0.13288800371789797,0.0033950351917182093,0.042003612936655096,0.003517129967363648
adult,zenith,ddp + deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp + deo,post,0.8443335980411621,0.0002752672967971428,0.5017156208277703,0.0032410333039945864,0.7944447191862796,0.0018916546008229931,0.6150140772621974,0.0019283053955392096,0.13393329540813675,0.0013198089170343714,0.04316408570132379,0.001158329477340195
adult,zenith,ddp_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp_kl,post,0.845493349215803,0.0015570470586311444,0.5266822429906541,0.03336966451840304,0.7798590873306706,0.019542838822423192,0.6276230527137113,0.016868890662894227,0.14341891676138602,0.012716371682952057,0.044978544122854576,0.003117186789013356
adult,zenith,ddp_kl + deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,ddp_kl + deo_kl,post,0.8452666931374495,0.001420485077781907,0.5215487316421896,0.03092832964704931,0.7828502718531223,0.017980524204520405,0.6250713605385317,0.0154955871043153,0.14151977470844912,0.011801321773109896,0.04493836738480407,0.0031023569720193263
adult,zenith,deo,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,deo,post,0.8443319436172324,0.0002632671718180103,0.5016889185580775,0.0033640384040977923,0.7944637410939356,0.002078068785494055,0.6149984989069239,0.001964477754539225,0.13391615115146277,0.001417818950766899,0.04318570845122846,0.0013353606825375563
adult,zenith,deo_kl,baseline,0.8486863873999073,0.0,0.6026702269692924,0.0,0.7386679757813779,0.0,0.6637747224468789,0.0,0.1732941584483545,0.0,0.05800129425380729,0.0
adult,zenith,deo_kl,post,0.8452534577460128,0.0013697475398846165,0.5200534045393859,0.028593439942714776,0.7838503734886645,0.016697701301095835,0.6244454814292983,0.014542052167399197,0.1408346098061432,0.010814897588025129,0.044136727619534646,0.0026064265013125794
bank,topsis,ddp,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,topsis,ddp,post,0.892640097977558,0.007701850241886667,0.16768206290733917,0.1407688464710734,0.6676302664374062,0.011515065445029535,0.23835825234260438,0.17750401531622975,0.008821020347205204,0.00878623294369292,0.010600429236781467,0.008482428586920318
bank,topsis,ddp + deo,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,topsis,ddp + deo,post,0.8994223958160935,0.004690861163606663,0.2939926324737886,0.08654514957902736,0.6564086982669475,0.0069920002485895855,0.3963197051117462,0.10868263135678334,0.01675912705952582,0.005326578242627915,0.018176271692845237,0.0056692090779218674
bank,topsis,ddp_kl,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,topsis,ddp_kl,post,0.8955082585813114,0.007689637311101329,0.22157835080759422,0.13974131130391662,0.6583414653427614,0.013693815657204672,0.3043256150112968,0.1777223810800307,0.012345725016754303,0.00865148895331232,0.013972684288169477,0.008258549716530837
bank,topsis,ddp_kl + deo_kl,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,topsis,ddp_kl + deo_kl,post,0.8943944258713714,0.008630662448269103,0.24421932558798526,0.17415835007260744,0.653306258462828,0.043191008560636866,0.315997475643116,0.1807985270403488,0.013768377937285364,0.011358063637595306,0.012709603867123345,0.008012198627584788
bank,topsis,deo,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,topsis,deo,post,0.9009367448942438,0.00012597440431462762,0.32391612354774724,0.009261357065401099,0.6533654525982351,0.004884810497238304,0.4329943704402597,0.007023573693776719,0.018625789355544792,0.000652199147290948,0.020245587702166612,0.0014353567008446929
bank,topsis,deo_kl,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,topsis,deo_kl,post,0.8963903876071629,0.007104568266121901,0.23900538396146218,0.1324580314473582,0.6618009135042335,0.013984294808831071,0.3266175605688848,0.1660283356446216,0.013392245205750117,0.00824402476081439,0.014376019405159998,0.008433001503705441
bank,zenith,ddp,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,zenith,ddp,post,0.898639568369137,0.005462590849036246,0.4982147917257014,0.07767986357226418,0.584702190971363,0.037610108217809655,0.5319248030854286,0.028957475266449272,0.028673688001414864,0.005428932014340831,0.00806196953101406,0.0046162877999520215
bank,zenith,ddp + deo,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,zenith,ddp + deo,post,0.8998427725000827,0.0035813722066605634,0.5002550297534712,0.04646057408742622,0.5863623666297952,0.024176591306382476,0.5376587354387634,0.01470695950253222,0.02864740689582007,0.003308402088004359,0.008107301468329792,0.003333024059848982
bank,zenith,ddp_kl,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,zenith,ddp_kl,post,0.9003144549998344,0.003243503131932978,0.4954803060357042,0.04114044442418324,0.5894691596797841,0.02157111032019447,0.5366467041243521,0.012242258516762165,0.028174031372827764,0.0030310075498870092,0.008730583410442713,0.002941885346944312
bank,zenith,ddp_kl + deo_kl,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,zenith,ddp_kl + deo_kl,post,0.900484922710271,0.002832968568438755,0.49450269198073105,0.0319270073529446,0.5897461695467646,0.017216449520216007,0.5368759769853858,0.008191030248509777,0.028171479844731596,0.002516486259616643,0.0074244408685444655,0.0021020960134170577
bank,zenith,deo,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,zenith,deo,post,0.8980106583694681,0.0054175295615514095,0.5214791725701332,0.06031232503961306,0.5748998884948173,0.03269317586763606,0.5431156569342416,0.015200078561526366,0.030105647087391774,0.004538911562773638,0.007394305432942544,0.0041683065971016104
bank,zenith,deo_kl,baseline,0.9011618284730727,0.0,0.3355058090110513,0.0,0.6487671232876713,0.0,0.44228614120283904,0.0,0.019613103015030976,0.0,0.023884264473219063,0.0
bank,zenith,deo_kl,post,0.8967528383701302,0.013009478049212509,0.5223576083876452,0.07901457046891998,0.5747406742518983,0.04493754094204094,0.5409414715918962,0.010879204431341572,0.030494392350974692,0.007035428893022652,0.007367019341411971,0.0031290692455146966
celeba,topsis,ddp,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,topsis,ddp,post,0.811512321494251,0.08773186963718517,0.8577169333525008,0.13663458954155996,0.7991747525924999,0.09359886823543585,0.8120737145364221,0.09078579217511284,0.1693054802039658,0.04854242553497118,0.11430971471406248,0.04153200323639991
celeba,topsis,ddp + deo,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,topsis,ddp + deo,post,0.8203020805014951,0.04915898392887222,0.8848580685826762,0.05466614654996266,0.7882184189026606,0.08110625483663542,0.8283696789433298,0.02804664876099918,0.16412673076928425,0.048035392667478985,0.11469240393337832,0.04837039679236341
celeba,topsis,ddp_kl,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,topsis,ddp_kl,post,0.8359836672903374,0.020716006480581733,0.8791050635290996,0.041925235474564275,0.8057461109773719,0.050644967705221096,0.838395426397043,0.010868508002290254,0.1801804415793016,0.021943509252296146,0.12319233179494829,0.034111122286913195
celeba,topsis,ddp_kl + deo_kl,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,topsis,ddp_kl + deo_kl,post,0.8123633388237677,0.056025784739361456,0.8605163052493061,0.152148225371689,0.7926206024236981,0.08164480589789563,0.8081974804393581,0.09963607452209514,0.15670687383881124,0.05226135022051262,0.1048675629519619,0.046707895871771044
celeba,topsis,deo,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,topsis,deo,post,0.8096007974456153,0.07617669429234858,0.856451327531488,0.12739406882573168,0.7978593538001962,0.0974540140417509,0.811851794829192,0.06464773172799682,0.16603236049692147,0.04364358723775954,0.11344998983382674,0.0398876078914405
celeba,topsis,deo_kl,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,topsis,deo_kl,post,0.8138694769161882,0.056010919714984835,0.8519948911324656,0.149074727322022,0.8008304757068393,0.08610728288652955,0.8087779064368114,0.09524474937764006,0.15776488180259288,0.04912768482424447,0.11079672063097337,0.05078918240288944
celeba,zenith,ddp,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,zenith,ddp,post,0.8301797983997783,0.03313072347054691,0.8835239022016786,0.044164337167582224,0.7975328401426234,0.06287270256678608,0.8350173037586435,0.019154469645226956,0.1696069017682179,0.042605312264647525,0.1177104286558639,0.0416677690135516
celeba,zenith,ddp + deo,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,zenith,ddp + deo,post,0.8281627300785186,0.022804938966751,0.8961567382866494,0.039951997359356194,0.7852950519137958,0.05070826127849886,0.8347235114112885,0.012520377144762342,0.17305497298807943,0.02670768837207733,0.1094551188363472,0.03417692750297412
celeba,zenith,ddp_kl,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,zenith,ddp_kl,post,0.8381430604640749,0.024585127200887836,0.8698305890679082,0.04251632444434708,0.815173322491652,0.05412545213001565,0.8389531255216094,0.013432029695004368,0.17987383881309943,0.02900740174985806,0.12947824937820526,0.0362577736490865
celeba,zenith,ddp_kl + deo_kl,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
celeba,zenith,ddp_kl + deo_kl,post,0.8353786534043358,0.02618476990797065,0.8734830976103327,0.04602438058119486,0.8097647542232236,0.05825649871366862,0.8373156150242218,0.01416562408243981,0.17727895122364487,0.030353742659888043,0.12583209749463292,0.03879962306385946
celeba,zenith,deo,baseline,0.8520781027617417,0.0,0.8345147128750096,0.0,0.855129120349911,0.0,0.8446961641351673,0.0,0.1940681930276295,0.0,0.15735358389939635,0.0
