dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
adult,topsis,ddp,7,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,8,post,"[0.09254814684391022, 0.3537469506263733]",0.8121236185560188,0.2691588785046729,0.9081081081081082,0.41524201853759013,0.059684309824731205,0.006596847858428512
adult,topsis,ddp,8,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,9,post,"[0.1267452836036682, 1.0015653371810913]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,ddp,9,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,10,post,"[0.12560316920280457, 0.6551340818405151]",0.8012044206207398,0.21428571428571427,0.9288194444444444,0.34823172054675633,0.045698138661021785,0.00045395047216506557
adult,topsis,ddp,10,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,11,post,"[0.12801778316497803, 0.6673626899719238]",0.8012375090993316,0.2144192256341789,0.9288606130711394,0.3484108905521206,0.04574712225151897,0.0006106411647379406
adult,topsis,ddp,11,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,12,post,"[0.1060909703373909, 0.5381897687911987]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
adult,topsis,ddp,12,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,13,post,"[-0.0011515070218592882, 0.3707311749458313]",0.24783270465224008,1.0,0.24783270465224008,0.39722104369961814,0.0,0.0
adult,topsis,ddp,13,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,14,post,"[0.12370750308036804, 0.6293476223945618]",0.8020647210641255,0.21815754339118826,0.928409090909091,0.3532972972972973,0.04681275883927921,0.0028795450200077566
adult,topsis,ddp,14,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,15,post,"[0.10545306652784348, 0.534839391708374]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
adult,topsis,ddp,15,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,16,post,"[0.12665246427059174, 0.9991028308868408]",0.7912447885646218,0.16622162883845126,0.9511077158135982,0.28298670303443574,0.03513681803105595,0.0012430606387323628
adult,topsis,ddp,16,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,17,post,"[0.1267460733652115, 0.9988234043121338]",0.7912778770432135,0.16635514018691588,0.9511450381679389,0.2831818181818182,0.035185801621553145,0.0013997513313052379
adult,topsis,ddp,17,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,18,post,"[0.13620629906654358, 1.0710465908050537]",0.7912778770432135,0.1664886515353805,0.9504573170731707,0.28334469438763915,0.035132817229996685,0.0015564420238780852
adult,topsis,ddp,18,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,ddp,19,post,"[0.12435568869113922, 0.6492392420768738]",0.8011713321421481,0.21415220293724965,0.9287782281412854,0.348052511663231,0.045649155070524604,0.0002972597795922183
adult,topsis,ddp,19,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,0,post,"[0.13061724603176117, 0.6629628539085388]",0.8021970749784925,0.21869158878504674,0.9285714285714286,0.3540090771558245,0.04700869320126794,0.0035063077902992013
adult,topsis,deo,0,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,1,post,"[0.1291714310646057, 1.0122071504592896]",0.7913109655218054,0.16675567423230975,0.9498098859315589,0.283702441794435,0.03527976800148824,0.0018698234090238075
adult,topsis,deo,1,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,2,post,"[0.135966494679451, 1.0693541765213013]",0.7912778770432135,0.1664886515353805,0.9504573170731707,0.28334469438763915,0.035132817229996685,0.0015564420238780852
adult,topsis,deo,2,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,3,post,"[0.10819661617279053, 0.3543422818183899]",0.8185096949242274,0.3025367156208278,0.8967154728927582,0.45243086752520717,0.06898611235043542,0.011874552413319528
adult,topsis,deo,3,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,4,post,"[0.12473500519990921, 0.9826362729072571]",0.7912778770432135,0.16635514018691588,0.9511450381679389,0.2831818181818182,0.035185801621553145,0.0013997513313052379
adult,topsis,deo,4,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,5,post,"[0.143758624792099, 1.129469394683838]",0.7912447885646218,0.1664886515353805,0.9497334348819497,0.28331250709985234,0.035181800820493866,0.0015564420238780852
adult,topsis,deo,5,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,6,post,"[0.19778677821159363, 1.0316317081451416]",0.8012044206207398,0.21428571428571427,0.9288194444444444,0.34823172054675633,0.045698138661021785,0.00045395047216506557
adult,topsis,deo,6,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,7,post,"[0.12300668656826019, 0.639870285987854]",0.8013036860565151,0.21468624833110814,0.92894280762565,0.34876911397896104,0.04584508943251334,0.000924022549883663
adult,topsis,deo,7,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,8,post,"[0.1349123865365982, 0.6676436066627502]",0.8028257560717358,0.22176234979973297,0.9274148520379676,0.35793556728800774,0.047576492281937804,0.0039325404143196185
adult,topsis,deo,8,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo,9,post,"[0.19450248777866364, 1.5312429666519165]",0.7912447885646218,0.16635514018691588,0.950419527078566,0.2831496420861266,0.035083833639499504,0.0013997513313052379
adult,topsis,deo,9,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
